Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
4.4364,-0.1004,0.0920,0.0297,-0.0997,0.1151,0.0838,-0.1202,0.0926,0.0871,-0.1230,0.0664,0.0601,-0.1098,0.0439,0.0431,0.0607,0.000,0.1144,None
4.4626,-0.1003,0.0866,0.0387,-0.0879,0.1252,0.0779,-0.1090,0.0933,0.0617,-0.1068,0.0679,0.0415,-0.0989,0.0520,0.0414,0.0255,1.396,0.1024,None
4.4795,-0.0989,0.0873,0.0400,-0.0868,0.1258,0.0733,-0.1039,0.0893,0.0508,-0.0997,0.0659,0.0355,-0.0958,0.0541,0.0418,0.0120,0.813,0.0960,None
4.4911,-0.0950,0.0924,0.0380,-0.0817,0.1300,0.0700,-0.0963,0.0879,0.0400,-0.0896,0.0656,0.0285,-0.0889,0.0575,0.0372,0.0051,0.985,0.0897,None
4.5044,-0.0886,0.0997,0.0349,-0.0743,0.1345,0.0658,-0.0870,0.0907,0.0323,-0.0783,0.0681,0.0231,-0.0783,0.0610,0.0306,0.0094,0.525,0.0850,None
4.5192,-0.0840,0.1041,0.0334,-0.0690,0.1369,0.0620,-0.0806,0.0920,0.0285,-0.0715,0.0694,0.0213,-0.0730,0.0639,0.0305,0.0134,0.291,0.0820,None
4.5340,-0.0802,0.1084,0.0286,-0.0653,0.1402,0.0579,-0.0771,0.0961,0.0237,-0.0658,0.0710,0.0168,-0.0672,0.0646,0.0251,0.0136,0.027,0.0819,None
4.5488,-0.0801,0.1097,0.0231,-0.0663,0.1418,0.0522,-0.0771,0.0975,0.0185,-0.0627,0.0689,0.0110,-0.0626,0.0601,0.0186,0.0134,0.024,0.0822,None
4.5631,-0.0805,0.1099,0.0204,-0.0670,0.1426,0.0485,-0.0826,0.1040,0.0196,-0.0588,0.0640,0.0062,-0.0542,0.0487,0.0124,0.0064,0.623,0.0889,None
4.5777,-0.0793,0.1112,0.0180,-0.0657,0.1440,0.0451,-0.0857,0.1098,0.0197,-0.0551,0.0612,0.0032,-0.0499,0.0434,0.0110,0.0067,0.458,0.0942,None
4.5925,-0.0785,0.1117,0.0185,-0.0676,0.1403,0.0383,-0.0867,0.1094,0.0183,-0.0515,0.0577,0.0023,-0.0464,0.0399,0.0121,0.0086,0.195,0.0957,None
4.6068,-0.0788,0.1114,0.0189,-0.0708,0.1349,0.0320,-0.0867,0.1037,0.0137,-0.0485,0.0540,0.0018,-0.0427,0.0371,0.0145,0.0123,0.521,0.0936,None
