Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
0.2994,-0.0382,0.1261,0.0298,-0.0486,0.1182,0.0307,-0.0653,0.1025,0.0310,-0.0615,0.0780,0.0250,-0.0567,0.0651,0.0280,0.0360,0.000,0.0801,None
0.3416,-0.0433,0.1211,0.0323,-0.0480,0.1248,0.0414,-0.0686,0.1055,0.0362,-0.0695,0.0870,0.0336,-0.0666,0.0748,0.0397,0.0300,0.205,0.0846,None
0.3546,-0.0478,0.1178,0.0329,-0.0475,0.1244,0.0459,-0.0705,0.1084,0.0422,-0.0746,0.0925,0.0410,-0.0716,0.0788,0.0476,0.0263,0.662,0.0887,None
0.4032,-0.0480,0.1163,0.0362,-0.0473,0.1233,0.0509,-0.0728,0.1133,0.0533,-0.0778,0.0962,0.0509,-0.0740,0.0799,0.0558,0.0303,0.213,0.0955,None
0.4104,-0.0483,0.1158,0.0377,-0.0475,0.1240,0.0540,-0.0731,0.1164,0.0602,-0.0788,0.0991,0.0584,-0.0752,0.0806,0.0606,0.0336,0.905,0.0992,None
0.4180,-0.0485,0.1153,0.0391,-0.0476,0.1245,0.0570,-0.0727,0.1181,0.0659,-0.0786,0.1009,0.0651,-0.0756,0.0808,0.0655,0.0362,0.634,0.1014,None
0.4272,-0.0486,0.1145,0.0405,-0.0477,0.1278,0.0632,-0.0715,0.1181,0.0700,-0.0768,0.1022,0.0725,-0.0741,0.0814,0.0743,0.0375,0.334,0.1021,None
0.4415,-0.0487,0.1138,0.0422,-0.0467,0.1321,0.0717,-0.0687,0.1199,0.0777,-0.0739,0.1037,0.0818,-0.0725,0.0810,0.0822,0.0412,0.500,0.1040,None
0.4560,-0.0488,0.1133,0.0438,-0.0453,0.1337,0.0776,-0.0663,0.1210,0.0844,-0.0718,0.1037,0.0883,-0.0711,0.0800,0.0875,0.0449,0.406,0.1059,None
0.4704,-0.0497,0.1129,0.0444,-0.0444,0.1356,0.0819,-0.0641,0.1229,0.0907,-0.0705,0.1039,0.0929,-0.0705,0.0788,0.0890,0.0495,0.484,0.1082,None
0.4848,-0.0505,0.1127,0.0448,-0.0439,0.1363,0.0848,-0.0621,0.1240,0.0959,-0.0695,0.1036,0.0964,-0.0700,0.0774,0.0889,0.0535,0.389,0.1100,None
0.4989,-0.0511,0.1124,0.0451,-0.0440,0.1364,0.0861,-0.0626,0.1233,0.0965,-0.0699,0.1027,0.0969,-0.0697,0.0760,0.0874,0.0538,0.046,0.1100,None
0.5128,-0.0518,0.1122,0.0454,-0.0448,0.1359,0.0864,-0.0632,0.1226,0.0969,-0.0704,0.1020,0.0973,-0.0695,0.0746,0.0851,0.0538,0.031,0.1100,None
0.5282,-0.0523,0.1118,0.0458,-0.0455,0.1354,0.0868,-0.0638,0.1218,0.0973,-0.0707,0.1011,0.0976,-0.0694,0.0735,0.0843,0.0538,0.029,0.1100,None
0.5404,-0.0528,0.1116,0.0462,-0.0463,0.1349,0.0873,-0.0645,0.1211,0.0977,-0.0713,0.1001,0.0973,-0.0691,0.0724,0.0834,0.0537,0.043,0.1100,None
