Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
0.3481,-0.0019,0.1224,0.0442,-0.0057,0.1224,0.0330,-0.0025,0.0720,0.0187,-0.0156,0.0606,0.0150,-0.0331,0.0676,0.0147,0.0565,0.000,0.0359,None
0.3742,-0.0018,0.1223,0.0443,-0.0057,0.1224,0.0328,-0.0024,0.0720,0.0187,-0.0155,0.0605,0.0149,-0.0329,0.0669,0.0149,0.0564,0.004,0.0359,None
0.4395,-0.0027,0.1218,0.0443,-0.0064,0.1221,0.0339,-0.0029,0.0717,0.0189,-0.0158,0.0603,0.0150,-0.0329,0.0657,0.0156,0.0562,0.007,0.0359,None
0.4564,-0.0028,0.1218,0.0442,-0.0065,0.1220,0.0339,-0.0030,0.0716,0.0189,-0.0159,0.0603,0.0151,-0.0330,0.0655,0.0158,0.0562,0.008,0.0359,None
0.4722,-0.0030,0.1218,0.0441,-0.0067,0.1220,0.0339,-0.0031,0.0716,0.0189,-0.0160,0.0603,0.0151,-0.0331,0.0653,0.0159,0.0562,0.010,0.0359,None
0.4843,-0.0032,0.1219,0.0438,-0.0069,0.1220,0.0338,-0.0032,0.0716,0.0188,-0.0162,0.0603,0.0151,-0.0331,0.0652,0.0159,0.0562,0.017,0.0359,None
0.4983,-0.0033,0.1221,0.0435,-0.0072,0.1221,0.0335,-0.0034,0.0717,0.0187,-0.0163,0.0603,0.0150,-0.0332,0.0650,0.0160,0.0562,0.018,0.0359,None
0.5128,-0.0034,0.1222,0.0432,-0.0074,0.1222,0.0333,-0.0035,0.0717,0.0185,-0.0164,0.0603,0.0150,-0.0332,0.0648,0.0161,0.0562,0.010,0.0359,None
0.5268,-0.0034,0.1223,0.0429,-0.0075,0.1223,0.0330,-0.0035,0.0717,0.0184,-0.0164,0.0603,0.0149,-0.0332,0.0645,0.0161,0.0562,0.011,0.0359,None
0.5408,-0.0033,0.1224,0.0426,-0.0076,0.1225,0.0326,-0.0035,0.0717,0.0182,-0.0165,0.0603,0.0148,-0.0332,0.0643,0.0163,0.0562,0.012,0.0359,None
0.5550,-0.0032,0.1224,0.0425,-0.0077,0.1225,0.0324,-0.0035,0.0717,0.0181,-0.0165,0.0603,0.0148,-0.0331,0.0640,0.0164,0.0563,0.008,0.0359,None
0.5691,-0.0032,0.1224,0.0424,-0.0077,0.1225,0.0322,-0.0035,0.0716,0.0180,-0.0165,0.0602,0.0147,-0.0330,0.0637,0.0164,0.0563,0.006,0.0359,None
0.5836,-0.0032,0.1224,0.0423,-0.0078,0.1226,0.0321,-0.0035,0.0715,0.0180,-0.0164,0.0601,0.0147,-0.0330,0.0635,0.0164,0.0563,0.003,0.0358,None
0.5965,-0.0029,0.1151,0.0396,-0.0073,0.1153,0.0301,-0.0033,0.0673,0.0169,-0.0155,0.0566,0.0137,-0.0307,0.0587,0.0154,0.0530,0.260,0.0337,None
0.6103,-0.0031,0.1151,0.0394,-0.0074,0.1153,0.0299,-0.0033,0.0673,0.0168,-0.0155,0.0565,0.0136,-0.0305,0.0578,0.0153,0.0529,0.012,0.0336,None
0.6247,-0.0031,0.1151,0.0392,-0.0074,0.1152,0.0297,-0.0034,0.0672,0.0167,-0.0155,0.0565,0.0136,-0.0304,0.0575,0.0152,0.0529,0.012,0.0336,None
0.6397,-0.0032,0.1152,0.0390,-0.0074,0.1151,0.0295,-0.0034,0.0672,0.0167,-0.0155,0.0565,0.0135,-0.0304,0.0573,0.0152,0.0529,0.012,0.0335,None
0.6528,-0.0034,0.1152,0.0388,-0.0076,0.1150,0.0293,-0.0035,0.0672,0.0166,-0.0156,0.0564,0.0134,-0.0305,0.0570,0.0152,0.0529,0.014,0.0334,None
0.6667,-0.0037,0.1153,0.0384,-0.0079,0.1150,0.0290,-0.0037,0.0671,0.0164,-0.0158,0.0563,0.0132,-0.0306,0.0568,0.0151,0.0530,0.019,0.0334,None
0.6809,-0.0045,0.1155,0.0379,-0.0088,0.1150,0.0284,-0.0042,0.0671,0.0161,-0.0162,0.0562,0.0130,-0.0310,0.0565,0.0150,0.0530,0.029,0.0333,None
0.6948,-0.0057,0.1157,0.0371,-0.0103,0.1150,0.0276,-0.0050,0.0671,0.0157,-0.0169,0.0560,0.0127,-0.0317,0.0560,0.0149,0.0531,0.041,0.0333,None
0.7087,-0.0074,0.1161,0.0359,-0.0123,0.1150,0.0263,-0.0062,0.0671,0.0150,-0.0179,0.0558,0.0122,-0.0327,0.0555,0.0145,0.0533,0.062,0.0332,None
0.7227,-0.0093,0.1165,0.0345,-0.0145,0.1150,0.0248,-0.0075,0.0671,0.0142,-0.0190,0.0555,0.0117,-0.0337,0.0549,0.0141,0.0535,0.068,0.0331,None
0.7364,-0.0110,0.1173,0.0329,-0.0165,0.1150,0.0231,-0.0087,0.0671,0.0133,-0.0200,0.0553,0.0109,-0.0347,0.0545,0.0134,0.0540,0.080,0.0331,None
0.7502,-0.0119,0.1183,0.0312,-0.0178,0.1151,0.0214,-0.0094,0.0671,0.0123,-0.0206,0.0552,0.0101,-0.0354,0.0545,0.0121,0.0546,0.089,0.0331,None
0.7643,-0.0125,0.1194,0.0296,-0.0188,0.1154,0.0199,-0.0100,0.0672,0.0114,-0.0210,0.0551,0.0092,-0.0359,0.0546,0.0108,0.0553,0.083,0.0331,None
0.7782,-0.0130,0.1202,0.0283,-0.0195,0.1158,0.0186,-0.0104,0.0673,0.0105,-0.0213,0.0551,0.0084,-0.0362,0.0547,0.0097,0.0558,0.063,0.0332,None
0.7926,-0.0134,0.1209,0.0272,-0.0213,0.1177,0.0177,-0.0108,0.0675,0.0098,-0.0216,0.0552,0.0078,-0.0365,0.0548,0.0090,0.0562,0.045,0.0334,None
0.8063,-0.0139,0.1215,0.0261,-0.0244,0.1214,0.0172,-0.0112,0.0676,0.0090,-0.0218,0.0552,0.0072,-0.0368,0.0549,0.0083,0.0566,0.042,0.0336,None
0.8202,-0.0142,0.1225,0.0255,-0.0283,0.1269,0.0185,-0.0118,0.0679,0.0085,-0.0222,0.0554,0.0068,-0.0372,0.0554,0.0073,0.0572,0.056,0.0340,None
0.8340,-0.0149,0.1243,0.0242,-0.0340,0.1372,0.0264,-0.0209,0.0774,0.0028,-0.0248,0.0582,0.0056,-0.0402,0.0600,0.0056,0.0519,0.884,0.0453,None
0.8480,-0.0148,0.1280,0.0223,-0.0393,0.1463,0.0387,-0.0331,0.0903,0.0007,-0.0332,0.0674,0.0023,-0.0443,0.0667,0.0057,0.0472,1.094,0.0583,None
0.8620,-0.0142,0.1329,0.0193,-0.0453,0.1499,0.0493,-0.0448,0.0999,0.0032,-0.0426,0.0752,0.0019,-0.0521,0.0734,0.0065,0.0478,1.023,0.0679,None
0.8757,-0.0162,0.1352,0.0173,-0.0521,0.1501,0.0553,-0.0546,0.1052,0.0065,-0.0516,0.0807,0.0033,-0.0594,0.0763,0.0090,0.0499,0.725,0.0742,None
0.8895,-0.0215,0.1352,0.0161,-0.0589,0.1489,0.0581,-0.0628,0.1071,0.0091,-0.0599,0.0842,0.0054,-0.0654,0.0767,0.0114,0.0505,0.374,0.0782,None
0.9038,-0.0271,0.1346,0.0151,-0.0655,0.1469,0.0594,-0.0698,0.1068,0.0109,-0.0665,0.0847,0.0068,-0.0704,0.0752,0.0128,0.0511,0.211,0.0806,None
0.9175,-0.0325,0.1337,0.0132,-0.0707,0.1458,0.0592,-0.0756,0.1067,0.0114,-0.0728,0.0860,0.0075,-0.0749,0.0745,0.0132,0.0508,0.197,0.0828,None
