Time,ThumbTip.x,ThumbTip.y,ThumbTip.z,IndexTip.x,IndexTip.y,IndexTip.z,MiddleTip.x,MiddleTip.y,MiddleTip.z,RingTip.x,RingTip.y,RingTip.z,LittleTip.x,LittleTip.y,LittleTip.z,Dist,Speed,PalmDist,Label
4.4624,-0.0986,0.0763,-0.0145,-0.0626,0.0576,-0.0176,-0.0538,0.0520,-0.0063,-0.0466,0.0470,0.0079,-0.0399,0.0468,0.0212,0.0516,0.000,0.0299,None
4.4884,-0.0986,0.0763,-0.0145,-0.0626,0.0576,-0.0176,-0.0538,0.0520,-0.0063,-0.0466,0.0470,0.0079,-0.0399,0.0468,0.0212,0.0516,0.000,0.0299,None
4.4933,-0.0986,0.0763,-0.0145,-0.0626,0.0576,-0.0176,-0.0538,0.0520,-0.0063,-0.0466,0.0470,0.0079,-0.0399,0.0468,0.0212,0.0516,0.000,0.0299,None
4.5036,-0.0883,0.0762,-0.0102,-0.0520,0.0594,-0.0260,-0.0475,0.0521,-0.0110,-0.0406,0.0472,0.0042,-0.0416,0.0455,0.0201,0.0474,0.918,0.0274,None
4.5172,-0.0840,0.0754,-0.0112,-0.0445,0.0614,-0.0302,-0.0427,0.0524,-0.0135,-0.0373,0.0478,0.0035,-0.0428,0.0445,0.0192,0.0472,0.862,0.0258,None
4.5319,-0.0814,0.0747,-0.0133,-0.0398,0.0628,-0.0321,-0.0399,0.0528,-0.0147,-0.0357,0.0479,0.0036,-0.0431,0.0438,0.0185,0.0469,0.772,0.0250,None
4.5467,-0.0842,0.0719,-0.0135,-0.0429,0.0614,-0.0309,-0.0422,0.0514,-0.0136,-0.0375,0.0465,0.0045,-0.0446,0.0419,0.0195,0.0467,0.318,0.0250,None
4.5611,-0.0863,0.0696,-0.0137,-0.0449,0.0612,-0.0297,-0.0439,0.0502,-0.0128,-0.0390,0.0453,0.0053,-0.0460,0.0401,0.0201,0.0466,0.215,0.0250,None
4.5767,-0.0882,0.0674,-0.0136,-0.0466,0.0609,-0.0284,-0.0454,0.0492,-0.0122,-0.0407,0.0442,0.0058,-0.0473,0.0384,0.0205,0.0466,0.160,0.0250,None
4.5904,-0.0947,0.0598,-0.0134,-0.0517,0.0574,-0.0251,-0.0498,0.0451,-0.0110,-0.0466,0.0399,0.0066,-0.0510,0.0332,0.0206,0.0473,0.520,0.0250,None
4.6313,-0.1021,0.0535,-0.0073,-0.0592,0.0536,-0.0180,-0.0549,0.0411,-0.0058,-0.0506,0.0360,0.0112,-0.0514,0.0293,0.0250,0.0488,0.157,0.0256,None
4.6345,-0.1095,0.0439,0.0027,-0.0662,0.0482,-0.0101,-0.0600,0.0357,0.0007,-0.0532,0.0307,0.0168,-0.0513,0.0240,0.0303,0.0502,2.150,0.0261,None
4.6512,-0.1122,0.0360,0.0114,-0.0695,0.0448,-0.0050,-0.0620,0.0317,0.0050,-0.0541,0.0266,0.0205,-0.0508,0.0200,0.0338,0.0508,0.348,0.0259,None
4.6679,-0.1127,0.0360,0.0162,-0.0715,0.0449,-0.0012,-0.0632,0.0317,0.0082,-0.0540,0.0262,0.0230,-0.0495,0.0199,0.0359,0.0503,0.366,0.0268,None
